"Date","sulfate","nitrate","ID"
"1","2003-01-01",NA,NA,1
"2","2003-01-02",NA,NA,1
"3","2003-01-03",NA,NA,1
"4","2003-01-04",NA,NA,1
"5","2003-01-05",NA,NA,1
"6","2003-01-06",NA,NA,1
"7","2003-01-07",NA,NA,1
"8","2003-01-08",NA,NA,1
"9","2003-01-09",NA,NA,1
"10","2003-01-10",NA,NA,1
"11","2003-01-11",NA,NA,1
"12","2003-01-12",NA,NA,1
"13","2003-01-13",NA,NA,1
"14","2003-01-14",NA,NA,1
"15","2003-01-15",NA,NA,1
"16","2003-01-16",NA,NA,1
"17","2003-01-17",NA,NA,1
"18","2003-01-18",NA,NA,1
"19","2003-01-19",NA,NA,1
"20","2003-01-20",NA,NA,1
"21","2003-01-21",NA,NA,1
"22","2003-01-22",NA,NA,1
"23","2003-01-23",NA,NA,1
"24","2003-01-24",NA,NA,1
"25","2003-01-25",NA,NA,1
"26","2003-01-26",NA,NA,1
"27","2003-01-27",NA,NA,1
"28","2003-01-28",NA,NA,1
"29","2003-01-29",NA,NA,1
"30","2003-01-30",NA,NA,1
"31","2003-01-31",NA,NA,1
"32","2003-02-01",NA,NA,1
"33","2003-02-02",NA,NA,1
"34","2003-02-03",NA,NA,1
"35","2003-02-04",NA,NA,1
"36","2003-02-05",NA,NA,1
"37","2003-02-06",NA,NA,1
"38","2003-02-07",NA,NA,1
"39","2003-02-08",NA,NA,1
"40","2003-02-09",NA,NA,1
"41","2003-02-10",NA,NA,1
"42","2003-02-11",NA,NA,1
"43","2003-02-12",NA,NA,1
"44","2003-02-13",NA,NA,1
"45","2003-02-14",NA,NA,1
"46","2003-02-15",NA,NA,1
"47","2003-02-16",NA,NA,1
"48","2003-02-17",NA,NA,1
"49","2003-02-18",NA,NA,1
"50","2003-02-19",NA,NA,1
"51","2003-02-20",NA,NA,1
"52","2003-02-21",NA,NA,1
"53","2003-02-22",NA,NA,1
"54","2003-02-23",NA,NA,1
"55","2003-02-24",NA,NA,1
"56","2003-02-25",NA,NA,1
"57","2003-02-26",NA,NA,1
"58","2003-02-27",NA,NA,1
"59","2003-02-28",NA,NA,1
"60","2003-03-01",NA,NA,1
"61","2003-03-02",NA,NA,1
"62","2003-03-03",NA,NA,1
"63","2003-03-04",NA,NA,1
"64","2003-03-05",NA,NA,1
"65","2003-03-06",NA,NA,1
"66","2003-03-07",NA,NA,1
"67","2003-03-08",NA,NA,1
"68","2003-03-09",NA,NA,1
"69","2003-03-10",NA,NA,1
"70","2003-03-11",NA,NA,1
"71","2003-03-12",NA,NA,1
"72","2003-03-13",NA,NA,1
"73","2003-03-14",NA,NA,1
"74","2003-03-15",NA,NA,1
"75","2003-03-16",NA,NA,1
"76","2003-03-17",NA,NA,1
"77","2003-03-18",NA,NA,1
"78","2003-03-19",NA,NA,1
"79","2003-03-20",NA,NA,1
"80","2003-03-21",NA,NA,1
